epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.0537,1.30829,3.58905,1.64149,0.4352,0.51411,0.42179,0.29523,1.17401,2.17807,1.52937,0.00325926,0.00325926,0.00325926
2,171.035,1.13136,1.90557,1.34243,0.49848,0.43053,0.44186,0.28712,1.51982,7.70062,1.84143,0.00657809,0.00657809,0.00657809
3,258.91,1.40485,1.85971,1.51671,0.33525,0.09836,0.00092,0.00038,2.92017,inf,8.99555,0.00988225,0.00988225,0.00988225
4,348.416,1.54984,1.97996,1.58405,0.07555,0.14501,0.01298,0.00575,2.89882,inf,8.98208,0.009934,0.009934,0.009934
5,434.903,1.48,1.76075,1.55679,0.00917,0.26706,0.00463,0.0018,2.4094,inf,4.46871,0.009912,0.009912,0.009912
6,520.665,1.43625,1.64164,1.53551,0.87097,0.18308,0.21567,0.12961,1.80463,22.5297,2.6723,0.00989,0.00989,0.00989
7,606.762,1.3899,1.55114,1.51034,0.44421,0.55922,0.44203,0.26246,1.62034,15.1935,2.31306,0.009868,0.009868,0.009868
8,693.132,1.36575,1.48259,1.50952,0.39631,0.25339,0.25761,0.15957,2.37254,10.7811,3.15922,0.009846,0.009846,0.009846
9,778.561,1.34804,1.47814,1.49845,0.34487,0.22309,0.16148,0.1091,2.2421,4.46818,2.4762,0.009824,0.009824,0.009824
10,863.775,1.30771,1.39341,1.46471,0.61579,0.56137,0.58693,0.36747,1.41231,2.41703,1.77804,0.009802,0.009802,0.009802
11,948.159,1.29815,1.32719,1.45822,0.73088,0.58827,0.67538,0.46358,1.28859,2.68236,1.65673,0.00978,0.00978,0.00978
12,1033.62,1.25813,1.29025,1.43107,0.71401,0.6142,0.68696,0.45976,1.34437,1.48123,1.69317,0.009758,0.009758,0.009758
13,1119.64,1.25157,1.26633,1.40663,0.24275,0.07265,0.05318,0.02765,2.66925,4.97854,2.75707,0.009736,0.009736,0.009736
14,1204.4,1.2117,1.18691,1.39629,0.75812,0.68615,0.74362,0.51498,1.23195,1.76029,1.59288,0.009714,0.009714,0.009714
15,1289.49,1.1995,1.16392,1.3739,0.55658,0.41804,0.4137,0.26658,1.6945,2.57997,2.04387,0.009692,0.009692,0.009692
